id,cluster,voltage_ab,voltage_bc,voltage_ca,current_ab,current_bc,current_ca, real_power_ab, real_power_bc, real_power_ca,apparent_power_ab,apparent_power_bc,apparent_power_ca,reactive_power_ab,reactive_power_bc,reactive_power_ca,frequency,power_factor,real_power,apparent_power,accumulate_consumption,duration_consumption,inserted_at
1,1,217.05,215.75,216.54,60,65,60,3,5.5,6.5,13.5,13.5,13,-13,-12,-11,60,-0.398,15.5,39.5,8305,2.5,5/9/2017 16:15
2,2,217.18,215.75,216.6,38.4,38.4,38.4,1.92,1.92,1.92,8.96,8.32,8.96,-8.96,-8.32,-8.96,60,-0.257,7.04,27.52,11969.3,1.28,5/9/2017 16:15
3,3,108.71,108.15,108.53,44,40,36,1,1.2,0.6,4.6,4.2,3.8,-4.6,-4,-3.8,60,-0.226,2.8,12.8,2182,0.6,5/9/2017 16:15
4,1,218.32,217.53,218.21,70,60,55,7.5,6,4.5,15,13.5,12,-13,-12,-11,60,-0.45,18.5,41,8311.5,6.5,5/9/2017 16:30
5,2,218.23,217.35,218.04,38.4,38.4,38.4,1.92,1.92,2.56,8.96,8.32,8.96,-8.32,-8.32,-8.96,60,-0.265,7.04,26.88,11971.8,2.56,5/9/2017 16:30
6,3,109.25,108.86,109.26,42,40,36,1,1.2,0.8,4.6,4.2,3.8,-4.6,-4.2,-3.8,60,-0.242,3,13,2183.2,1.2,5/9/2017 16:30
7,1,219.24,218.26,218.81,70,60,65,8.5,6.5,9.5,15,13,14.5,-12.5,-11.5,-10.5,60,-0.583,25,43,8314.5,3,5/9/2017 16:45
8,2,219.03,218.08,218.63,38.4,38.4,38.4,1.92,1.92,1.92,8.96,8.96,8.96,-8.96,-8.32,-8.96,60,-0.255,7.04,27.52,11973.1,1.28,5/9/2017 16:45
9,3,109.5,109.08,109.39,44,40,36,0.8,1.2,0.4,4.6,4.2,3.8,-4.6,-4,-3.8,60,-0.212,2.6,13,2183.6,0.4,5/9/2017 16:45
10,1,221.1,220.1,220.74,65,60,60,6.5,6.5,6.5,14.5,13.5,13.5,-13,-12,-11.5,60,-0.472,20,42.5,8322,7.5,5/9/2017 17:00
11,2,221.11,220.05,220.73,38.4,38.4,38.4,1.92,1.92,2.56,8.96,8.96,8.96,-8.96,-8.32,-8.96,60,-0.261,7.04,27.52,11975.7,2.56,5/9/2017 17:00
12,3,110.71,110.24,110.58,42,40,38,1,1.2,0.6,4.6,4.4,4,-4.6,-4.2,-4,60,-0.229,3,13.2,2184.8,1.2,5/9/2017 17:00
13,1,221.98,220.99,221.46,70,60,55,8.5,3.5,4.5,15.5,13,12.5,-13,-12.5,-11.5,60,-0.418,17.5,41.5,8325,3,5/9/2017 17:15
14,2,221.76,220.71,221.24,38.4,38.4,38.4,1.92,1.92,1.92,8.96,8.96,8.96,-8.32,-8.32,-8.96,60,-0.257,7.04,27.52,11977,1.28,5/9/2017 17:15
15,3,111.02,110.54,110.86,44,38,38,1,1.2,0.6,4.8,4.2,4.2,-4.8,-4,-4.2,60,-0.236,3,13.4,2185.2,0.4,5/9/2017 17:15
16,1,221.73,220.7,221.12,65,60,60,5.5,3.5,6.5,15,13.5,13.5,-13.5,-13,-11.5,60,-0.386,16,41.5,8331,6,5/9/2017 17:30
17,2,221.72,220.66,221.16,38.4,38.4,38.4,1.92,1.92,2.56,8.96,8.96,8.96,-8.32,-8.32,-8.96,60,-0.263,7.04,27.52,11978.9,1.92,5/9/2017 17:30
18,3,110.94,110.45,110.71,44,38,38,1,1,1,4.8,4.2,4.2,-4.6,-4,-4.2,60,-0.247,3.2,13.4,2186.4,1.2,5/9/2017 17:30
19,1,221.29,220.55,221.07,65,60,55,5.5,3.5,4,15,13.5,12.5,-13.5,-13,-11.5,60,-0.339,13.5,41,8333.5,2.5,5/9/2017 17:45
20,2,221.16,220.3,221.02,38.4,38.4,38.4,1.92,1.92,1.92,8.96,8.96,8.96,-8.96,-8.32,-8.96,60,-0.261,7.04,27.52,11980.2,1.28,5/9/2017 17:45
21,3,110.57,110.21,110.56,44,40,38,1,1.4,0.6,4.8,4.4,4.2,-4.6,-4.2,-4.2,60,-0.244,3.2,13.6,2186.8,0.4,5/9/2017 17:45
22,1,222.02,221.23,221.72,65,60,65,2.5,4,8.5,14,13.5,14.5,-13.5,-13,-11.5,60,-0.374,15.5,42,8339.5,6,5/9/2017 18:00
23,2,221.9,221.12,221.63,38.4,38.4,38.4,1.92,1.92,1.92,8.96,8.32,8.96,-8.32,-8.32,-8.32,60,-0.26,7.04,26.88,11982.7,2.56,5/9/2017 18:00
24,3,110.9,110.6,110.89,44,40,38,1,1,1,4.8,4.4,4.2,-4.6,-4.2,-4.2,60,-0.249,3.4,13.6,2187.8,1,5/9/2017 18:00
