Date,Load
1/1/2011 0:00,12264
1/1/2011 1:00,11820
1/1/2011 2:00,11563
1/1/2011 3:00,11411
1/1/2011 4:00,11586
1/1/2011 5:00,11533
1/1/2011 6:00,12123
1/1/2011 7:00,12388
1/1/2011 8:00,12757
1/1/2011 9:00,13294
1/1/2011 10:00,13640
1/1/2011 11:00,13714
1/1/2011 12:00,13699
1/1/2011 13:00,13603
1/1/2011 14:00,13603
1/1/2011 15:00,13751
1/1/2011 16:00,14741
1/1/2011 17:00,15835
1/1/2011 18:00,15745
1/1/2011 19:00,15331
1/1/2011 20:00,14836
1/1/2011 21:00,14115
1/1/2011 22:00,13156
1/1/2011 23:00,12137
1/2/2011 0:00,11630
1/2/2011 1:00,11112
1/2/2011 2:00,10977
1/2/2011 3:00,10894
1/2/2011 4:00,10857
1/2/2011 5:00,10795
1/2/2011 6:00,10959
1/2/2011 7:00,11557
1/2/2011 8:00,12457
1/2/2011 9:00,13405
1/2/2011 10:00,13952
1/2/2011 11:00,14295
1/2/2011 12:00,14419
1/2/2011 13:00,14373
1/2/2011 14:00,14273
1/2/2011 15:00,14408
1/2/2011 16:00,15610
1/2/2011 17:00,16745
1/2/2011 18:00,16652
1/2/2011 19:00,16213
1/2/2011 20:00,15603
1/2/2011 21:00,14618
1/2/2011 22:00,13440
1/2/2011 23:00,12588
1/3/2011 0:00,12001
1/3/2011 1:00,11737
1/3/2011 2:00,11461
1/3/2011 3:00,11468
1/3/2011 4:00,11873
1/3/2011 5:00,13055
1/3/2011 6:00,14827
1/3/2011 7:00,16035
1/3/2011 8:00,16305
1/3/2011 9:00,16425
1/3/2011 10:00,16587
1/3/2011 11:00,16586
1/3/2011 12:00,16464
1/3/2011 13:00,16340
1/3/2011 14:00,16186
1/3/2011 15:00,16313
1/3/2011 16:00,17499
1/3/2011 17:00,19055
1/3/2011 18:00,19015
1/3/2011 19:00,18568
1/3/2011 20:00,17872
1/3/2011 21:00,16695
1/3/2011 22:00,15151
1/3/2011 23:00,13929
1/4/2011 0:00,13070
1/4/2011 1:00,13092
1/4/2011 2:00,12977
1/4/2011 3:00,12994
1/4/2011 4:00,13570
1/4/2011 5:00,14281
1/4/2011 6:00,15826
1/4/2011 7:00,17071
1/4/2011 8:00,17191
1/4/2011 9:00,17155
1/4/2011 10:00,17156
1/4/2011 11:00,17094
1/4/2011 12:00,16869
1/4/2011 13:00,16638
1/4/2011 14:00,16395
