Time,day,hour,PTotal,temp,precipitation,wind_speed,wind_dir,rel_humidity,class(fcm),,
1/11/2019 6:00,1/11/2019,6:00,0.15814209,18.7,0,0.8,346,99,3,testing,1
1/11/2019 7:00,1/11/2019,7:00,17.52081299,18.9,0,0.3,180,99,3,testing,1
1/11/2019 8:00,1/11/2019,8:00,61.93609619,19.5,0,1.7,350,99,3,testing,1
1/11/2019 9:00,1/11/2019,9:00,82.53338623,20.3,0,1.4,346,96,3,testing,1
1/11/2019 10:00,1/11/2019,10:00,106.5797729,22.2,0,1.1,316,83,3,testing,1
1/11/2019 11:00,1/11/2019,11:00,121.7268066,24.1,0,0.9,309,74,3,testing,1
1/11/2019 12:00,1/11/2019,12:00,122.151001,25.7,0,1,286,68,3,testing,1
1/11/2019 13:00,1/11/2019,13:00,101.3881836,27.1,0,1.8,194,60,3,testing,1
1/11/2019 14:00,1/11/2019,14:00,67.91259766,26,0,3,300,70,3,testing,1
1/11/2019 15:00,1/11/2019,15:00,29.83789063,24.6,0,2.8,325,75,3,testing,1
1/11/2019 16:00,1/11/2019,16:00,16.56713867,23.9,0,1.8,319,76,3,testing,1
1/11/2019 17:00,1/11/2019,17:00,1.314819336,23.7,0,1,306,75,3,testing,1
1/12/2019 6:00,1/12/2019,6:00,0.218383789,19.2,0,1.2,81,96,2,training,2
1/12/2019 7:00,1/12/2019,7:00,15.11523438,17.4,0,2.3,1,99,2,training,2
1/12/2019 8:00,1/12/2019,8:00,52.70788574,17.7,0,1,11,99,2,training,2
1/12/2019 9:00,1/12/2019,9:00,88.125,18.1,0,1.5,338,99,2,training,2
1/12/2019 10:00,1/12/2019,10:00,112.8598633,21.5,0,1.7,322,85,2,training,2
1/12/2019 11:00,1/12/2019,11:00,124.2845459,24.2,0,1.3,325,71,2,training,2
1/12/2019 12:00,1/12/2019,12:00,125.256958,25.2,0,2.7,323,67,2,training,2
1/12/2019 13:00,1/12/2019,13:00,106.3248291,25.6,0,3.3,322,67,2,training,2
1/12/2019 14:00,1/12/2019,14:00,84.51928711,25.9,0,3.1,322,65,2,training,2
1/12/2019 15:00,1/12/2019,15:00,53.9296875,25.9,0,2.8,326,62,2,training,2
1/12/2019 16:00,1/12/2019,16:00,21.50268555,25.4,0,2.7,339,67,2,training,2
1/12/2019 17:00,1/12/2019,17:00,2.155761719,23.7,0,2.7,322,76,2,training,2
1/13/2019 6:00,1/13/2019,6:00,0.095703125,17.1,0,2.2,360,99,3,training,2
1/13/2019 7:00,1/13/2019,7:00,10.0949707,16.9,0,1.4,358,99,3,training,2
1/13/2019 8:00,1/13/2019,8:00,34.03076172,17.7,0,2.2,13,95,3,training,2
1/13/2019 9:00,1/13/2019,9:00,75.44189453,19.2,0,1.7,33,87,3,training,2
1/13/2019 10:00,1/13/2019,10:00,113.4946289,20.9,0,2.4,358,82,3,training,2
1/13/2019 11:00,1/13/2019,11:00,107.2060547,22.5,0,1.5,357,74,3,training,2
1/13/2019 12:00,1/13/2019,12:00,125.0839844,23.9,0,2.5,337,67,3,training,2
1/13/2019 13:00,1/13/2019,13:00,102.015625,23.6,0,3.5,343,68,3,training,2
1/13/2019 14:00,1/13/2019,14:00,91.36474609,24,0,3,336,65,3,training,2
1/13/2019 15:00,1/13/2019,15:00,57.46923828,23.9,0,3,330,65,3,training,2
1/13/2019 16:00,1/13/2019,16:00,21.49682617,22.9,0,3.6,346,69,3,training,2
1/13/2019 17:00,1/13/2019,17:00,1.812988281,21,0,2.5,344,77,3,training,2
1/14/2019 6:00,1/14/2019,6:00,0.604492188,16.7,0,1.2,358,98,2,testing,1
1/14/2019 7:00,1/14/2019,7:00,12.95751953,16.7,0,1,354,98,2,testing,1
1/14/2019 8:00,1/14/2019,8:00,34.78515625,17.6,0,0.7,44,91,2,testing,1
